"","X","grad","ex.tuition","ex.other","ex.rent","in.scholarship","in.tuition","in.home","debt","work","work.school","worknum","region","school","rev1","workhour1","rev2","workhour2","rev3","workhour3","rev4","workhour4","ofcrev","ofcwhr","ofcrev2","ofcwhr2","ofcrev3","ofcwhr3","ofcrev4","ofcwhr4","totalrev","totalexp","totalwhr"
"738",738,TRUE,4456,3500,3500,0,TRUE,4000,FALSE,TRUE,"FALSE",0,"south","private",0,0,0,0,0,0,0,0,2500,8,0,0,0,0,0,0,2500,7891.2,8
"739",739,TRUE,16650,2000,10000,0,TRUE,10000,FALSE,TRUE,"TRUE",4,"south","public",3000,250,3000,25,5000,35,3000,25,0,0,0,0,0,0,0,0,14000,15330,335
"740",740,TRUE,13456,8500,12000,0,TRUE,20000,FALSE,TRUE,"TRUE",1,"north","public",7000,101,5000,101,0,0,0,0,0,0,0,0,0,0,0,0,12000,23191.2,202
"741",741,TRUE,23000,2916,8000,14000,TRUE,0,FALSE,TRUE,"TRUE",3,"north","public",5000,25,5000,35,3000,25,0,0,0,0,0,0,0,0,0,0,13000,15516,85
"742",742,FALSE,40000,7400,10000,0,TRUE,10000,FALSE,TRUE,"FALSE",0,"north","public",0,0,0,0,0,0,0,0,10000,80,10000,20,0,0,0,0,20000,25400,100
"743",743,TRUE,10769,4500,12000,0,FALSE,0,FALSE,TRUE,"TRUE",2,"north","public",9000,35,5000,45,0,0,0,0,0,0,0,0,0,0,0,0,14000,18653.8,80
"744",744,TRUE,48000,6000,8000,0,FALSE,0,TRUE,TRUE,"TRUE",1,"central","private",5000,15,0,0,0,0,0,0,4000,30,0,0,0,0,0,0,9000,23600,45
"745",745,TRUE,50000,6200,10000,5000,TRUE,10000,FALSE,TRUE,"TRUE",2,"north","private",3000,45,1000,15,0,0,0,0,0,0,0,0,0,0,0,0,4000,26200,60
"746",746,TRUE,30000,1500,9000,0,FALSE,0,FALSE,TRUE,"TRUE",1,"south","public",3000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,16500,5
"747",747,TRUE,13655,8000,10000,0,TRUE,20000,FALSE,TRUE,"TRUE",1,"north","public",7000,35,0,0,0,0,0,0,4000,500,0,0,0,0,0,0,11000,20731,535
"748",748,TRUE,13000,3000,7000,15000,FALSE,0,TRUE,TRUE,"TRUE",3,"north","public",5000,15,5000,25,5000,15,0,0,0,0,0,0,0,0,0,0,15000,12600,55
