"","grad","ex-tuition","ex-other","ex-rent","in-scholarship","in-tuition","in-home","debt","work","work-school","worknum","region","school","rev1","workhour1","rev2","workhour2","rev3","workhour3","rev4","workhour4","ofcrev","ofcwhr","ofcrev2","ofcwhr2","ofcrev3","ofcwhr3","ofcrev4","ofcwhr4"
"509",FALSE,29593,4000,7000,0,TRUE,7500,FALSE,TRUE,TRUE,1,"north","public",7000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510",FALSE,72900,0,15000,0,TRUE,8000,FALSE,TRUE,FALSE,NA,"north","private",NA,NA,NA,NA,NA,NA,NA,NA,8400,12,13200,22,NA,NA,NA,NA
"511",TRUE,21425,3250,8000,0,TRUE,8000,FALSE,TRUE,TRUE,2,"north","public",3000,15,5000,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512",TRUE,16965,3350,9000,5000,FALSE,9000,TRUE,TRUE,TRUE,2,"north","public",5000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513",FALSE,20000,2000,8000,0,TRUE,8000,FALSE,FALSE,NA,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514",FALSE,25255,0,10000,0,TRUE,12000,FALSE,TRUE,TRUE,1,"north","public",9000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515",TRUE,13655,0,6000,0,FALSE,6000,FALSE,TRUE,TRUE,2,"north","public",5000,5,7000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516",FALSE,32000,0,1000,0,TRUE,1000,FALSE,FALSE,NA,NA,"north","private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517",TRUE,18952,1800,8000,7650,TRUE,5000,FALSE,TRUE,TRUE,1,"north","public",7000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518",TRUE,66000,11000,15000,6500,TRUE,15000,FALSE,TRUE,TRUE,1,"north","public",9000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519",TRUE,22450,2470,10000,13000,FALSE,0,TRUE,TRUE,TRUE,2,"north","public",7000,25,NA,NA,NA,NA,NA,NA,10000,52,NA,NA,NA,NA,NA,NA
"520",FALSE,29593,2234,8000,400,FALSE,10000,TRUE,TRUE,TRUE,1,"north","public",3000,15,1000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521",TRUE,13000,5500,12000,20000,TRUE,4500,FALSE,TRUE,TRUE,2,"north","public",5000,15,7000,15,7000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522",TRUE,700,3750,15000,4000,FALSE,0,FALSE,TRUE,TRUE,2,"north","public",7000,25,5000,35,7000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523",TRUE,11843,3750,15000,0,FALSE,12000,FALSE,TRUE,TRUE,2,"north","public",9000,15,9000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524",FALSE,28630,9600,6000,0,TRUE,6000,FALSE,TRUE,FALSE,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,5000,35,NA,NA,NA,NA,NA,NA
"525",FALSE,26000,2000,10000,0,TRUE,10000,FALSE,FALSE,NA,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526",TRUE,31000,3500,11000,5400,FALSE,3000,FALSE,TRUE,TRUE,4,"north","public",5000,25,5000,15,3000,15,3000,5,5000,35,23500,60,NA,NA,NA,NA
